Artist Name,Popularity,danceability,energy,key,loudness,mode,speechiness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
Bruno Mars,60,854,564,1.0,-4964,1,0.0485,0.0849,899,134071,234596.0,4,Alt_Music
Boston,54,382,814,3.0,-7.23,1,0.0406,101,569,116454,251733.0,4,Bollywood
The Raincoats,35,434,614,6.0,-8334,1,0.0525,394,787,147681,109667.0,4,Blues
Deno,66,853,597,10.0,-6528,0,0.0555,122,569,107033,173968.0,4,Alt_Music
Red Hot Chili Peppers,53,167,975,2.0,-4279,1,216,172,0.0918,199.06,229960.0,4,Bollywood
The Stooges,53,235,977,6.0,878,1,107,172,241,152952,208133.0,4,Blues
Solomon Burke,48,674,658,5.0,-9647,0,104,0.0981,677,143292,329387.0,4,Pop
Randy Travis,55,657,415,5.0,-9915,1,25,132,347,96.03,3.105783333,4,HipHop
Professional Murder Music,29,431,776,10.0,-5403,1,0.0527,179,318,120857,237867.0,4,Instrumental
Dudu Aharon,14,716,885,1.0,-4348,0,0.0333,253,833,128043,164093.0,4,Country
Mohammed Rafi,11,491,563,7.0,-8588,0,0.0331,263,843,95558,4.33045,4,Metal
Arctic Monkeys,59,387,922,9.0,-5192,0,0.0674,187,417,146478,222947.0,4,Bollywood
Eyal Golan,34,585,381,1.0,-7622,0,0.0463,126,322,143876,206875.0,4,Country
"Harald Lassen, Bram de Looze",34,462,374,11.0,-12069,0,0.0331,131,174,122939,4.44025,3,Acoustic/Folk
Buffalo Springfield,76,653,519,2.0,-10164,1,0.0497,101,822,98883,153693.0,4,Bollywood
Elmore James,37,431,852,2.0,-6522,1,0.0431,254,794,67601,146800.0,4,Pop
Dudu Aharon,14,713,939,5.0,-3609,0,0.0372,331,0.88,108034,179320.0,4,Country
Velvet Two Stripes,31,564,801,1.0,-4.73,0,0.0473,67,401,105.01,154293.0,4,Bollywood
Eden Ben Zaken,29,0.57,458,9.0,-5935,0,0.0236,134,0.19,93088,217529.0,4,Country
DaBaby,70,852,0.73,1.0,-5803,1,0.0579,336,394,92506,157693.0,4,Alt_Music
Mura Masa,48,347,411,6.0,-8071,1,0.0414,0.0975,395,171991,283013.0,4,Blues
Clairmont The Second,44,796,441,7.0,-9.83,1,292,118,371,158105,137872.0,4,Indie
Krankhead,29,805,448,7.0,-9452,1,112,113,775,160018,138000.0,4,Alt_Music
The Stone Roses,44,472,947,9.0,-6128,1,0.0774,364,0.75,98784,309867.0,4,Bollywood
R3HAB,44,556,188,8.0,-12161,1,0.0316,119,184,138091,145217.0,4,Country
